"item","faixa","categoria","observado","esperado","proporcao_observada","proporcao_esperada"
"Item_6","11","0",118,120.164451643045,0.0393333333333333,0.0400548172143482
"Item_6","12","0",117,114.674857926972,0.039,0.038224952642324
"Item_6","13","0",85,81.52857870192,0.0283333333333333,0.02717619290064
"Item_6","14","0",57,53.5125287950555,0.019,0.0178375095983518
"Item_6","15","0",34,34.9202265859094,0.0113333333333333,0.0116400755286365
"Item_6","16","0",15,15.5780359387178,0.005,0.00519267864623927
"Item_6","17","0",7,6.8126762158889,0.00233333333333333,0.00227089207196297
"Item_6","18","0",1,2.14665186422602,0.000333333333333333,0.000715550621408672
"Item_6","4","1",1,2.72562915316373,0.000333333333333333,0.000908543051054577
"Item_6","5","1",6,4.36144880724141,0.002,0.00145381626908047
"Item_6","6","1",13,14.4636713839784,0.00433333333333333,0.00482122379465946
"Item_6","7","1",40,34.475092055857,0.0133333333333333,0.0114916973519523
"Item_6","8","1",72,70.0795544342278,0.024,0.0233598514780759
"Item_6","9","1",108,121.898349411944,0.036,0.0406327831373148
"Item_6","10","1",170,157.050988378096,0.0566666666666667,0.0523503294593654
"Item_6","11","1",222,219.835548356955,0.074,0.0732785161189851
"Item_6","12","1",288,290.325142073028,0.096,0.096775047357676
"Item_6","13","1",285,288.47142129808,0.095,0.0961571404326933
"Item_6","14","1",265,268.487471204945,0.0883333333333333,0.0894958237349815
"Item_6","15","1",255,254.07977341409,0.085,0.0846932578046967
"Item_6","16","1",171,170.421964061282,0.057,0.0568073213537608
"Item_6","17","1",119,119.187323784111,0.0396666666666667,0.039729107928037
"Item_6","18","1",78,76.8533481357739,0.026,0.0256177827119246
"Item_7","4","0",17,15.8559500327107,0.00566666666666667,0.00528531667757024
"Item_7","5","0",18,16.6359106828697,0.006,0.00554530356095657
"Item_7","6","0",46,40.9250724316595,0.0153333333333333,0.0136416908105532
"Item_7","7","0",76,73.5407366551171,0.0253333333333333,0.024513578885039
"Item_7","8","0",103,113.544736303992,0.0343333333333333,0.0378482454346641
"Item_7","9","0",150,150.223879068842,0.05,0.0500746263562808
"Item_7","10","0",130,146.742223900344,0.0433333333333333,0.0489140746334478
"Item_7","11","0",162,154.630678406977,0.054,0.0515435594689924
"Item_7","12","0",166,152.057124795078,0.0553333333333333,0.050685708265026
"Item_7","13","0",106,110.774296093204,0.0353333333333333,0.0369247653644013
"Item_7","14","0",75,73.9848077426348,0.025,0.0246616025808783
"Item_7","15","0",47,48.7391785125814,0.0156666666666667,0.0162463928375271
"Item_7","16","0",16,21.7643050072461,0.00533333333333333,0.00725476833574868
"Item_7","17","0",15,9.44499121989897,0.005,0.00314833040663299
"Item_7","18","0",4,2.92112999184825,0.00133333333333333,0.00097370999728275
"Item_7","4","1",1,2.14404996728927,0.000333333333333333,0.000714683322429756
"Item_7","5","1",2,3.3640893171303,0.000666666666666667,0.0011213631057101
"Item_7","6","1",6,11.0749275683405,0.002,0.00369164252278016
"Item_7","7","1",24,26.4592633448831,0.008,0.00881975444829435
"Item_7","8","1",65,54.455263696008,0.0216666666666667,0.018151754565336
"Item_7","9","1",97,96.7761209311579,0.0323333333333333,0.0322587069770527
"Item_7","10","1",145,128.257776099657,0.0483333333333333,0.0427525920332189
"Item_7","11","1",178,185.369321593023,0.0593333333333333,0.0617897738643408
"Item_7","12","1",239,252.942875204922,0.0796666666666667,0.0843142917349739
"Item_7","13","1",264,259.225703906795,0.088,0.0864085679689317
"Item_7","14","1",247,248.015192257365,0.0823333333333333,0.082671730752455
"Item_7","15","1",242,240.260821487418,0.0806666666666667,0.0800869404958061
"Item_7","16","1",170,164.235694992754,0.0566666666666667,0.0547452316642513
"Item_7","17","1",111,116.555008780101,0.037,0.038851669593367
"Item_7","18","1",75,76.0788700081517,0.025,0.0253596233360506
"Item_8","4","0",16,16.3340606224892,0.00533333333333333,0.00544468687416306
"Item_8","5","0",18,17.3193325126044,0.006,0.00577311083753481
"Item_8","6","0",45,43.061273907411,0.015,0.014353757969137
"Item_8","7","0",83,78.5399873687456,0.0276666666666667,0.0261799957895819
"Item_8","8","0",115,123.908222451557,0.0383333333333333,0.0413027408171858
"Item_8","9","0",173,169.018879645399,0.0576666666666667,0.0563396265484665
"Item_8","10","0",175,171.975063986584,0.0583333333333333,0.0573250213288613
"Item_8","11","0",207,190.622299180295,0.069,0.0635407663934317
"Item_8","12","0",181,198.647209237934,0.0603333333333333,0.0662157364126445
"Item_8","13","0",143,153.943930547899,0.0476666666666667,0.0513146435159664
"Item_8","14","0",108,109.370821225314,0.036,0.0364569404084381
"Item_8","15","0",87,76.40974697352,0.029,0.02546991565784
