"item","parametro","verdadeiro","estimativa","erro_padrao","ic95_inferior","ic95_superior"
14,"b4",0.6,0.584576303044558,0.0724004774719593,0.442673974736014,0.726478631353102
15,"b4",0.8,0.904663674584659,0.088236538601624,0.731723236804998,1.07760411236432
16,"b4",1,0.980497512607943,0.12400896927772,0.737444399063677,1.22355062615221
17,"b4",1.2,1.24181537315611,0.126517351826867,0.993845920156069,1.48978482615615
18,"b4",1.4,1.46385376220541,0.151309874638278,1.16729185740911,1.7604156670017
19,"b4",1.6,1.50228970082358,0.134686296696046,1.23830941008825,1.76626999155891
20,"b4",1.8,2.05888666453928,0.197512559058337,1.6717691622906,2.44600416678797
21,"b4",2,1.82803393187055,0.152213474393048,1.52970100409846,2.12636685964263
22,"b4",-2.5,-2.40831232854777,0.241609441353352,-2.88185813192518,-1.93476652517035
23,"b4",2.5,2.44470517995627,0.203142067341027,2.04655404422284,2.84285631568969
24,"b4",-0.5,-0.684724572057806,0.0877970395594499,-0.856803607543566,-0.512645536572046
25,"b4",0.5,0.479886038052952,0.0789670322411766,0.325113498894232,0.634658577211671
26,"b4",-1.5,-1.78817998470727,0.173428435181561,-2.12809347155827,-1.44826649785627
27,"b4",1.5,1.53485745077095,0.12217348770608,1.29540181500139,1.77431308654052
28,"b4",0,0.0796832537663237,0.0736629645143429,-0.0646935036762403,0.224060011208888
29,"b4",-0.3,-0.342889420336822,0.0748401209353561,-0.489573361968742,-0.196205478704902
30,"b4",0.3,0.379496221918148,0.0728560239213595,0.236701038975495,0.522291404860801
